Id,SalePrice
1461,124435.26340091442
1462,147152.7650201574
1463,190617.31056466274
1464,191058.6361489571
1465,184672.1516419835
1466,194586.32397553272
1467,175461.29540427434
1468,174950.39339191254
1469,195552.55520829267
1470,127803.57697823828
1471,204843.46097999444
1472,92534.12766074984
1473,90923.47910691822
1474,147697.91724612302
1475,114032.54146818299
1476,308666.3765972273
1477,251646.91125748178
1478,261754.0223421634
1479,262013.76229016975
1480,315816.35672799236
1481,286384.1814334533
1482,205459.37672187586
1483,177895.98635844013
1484,160933.38809700077
1485,175553.15045214113
1486,191163.7757711209
1487,278122.28667979536
1488,243250.1068205252
1489,193542.68408299235
1490,230235.61549774048
1491,189575.1403355818
1492,88421.07916849502
1493,174069.26804877666
1494,303095.7842510139
1495,303956.2921020697
1496,237443.55760549178
1497,172834.06790111295
1498,153609.44090855404
1499,153333.37698541227
1500,154772.9979132735
1501,175300.03998950528
1502,149515.44444176342
1503,283115.6578820557
1504,222014.1444597949
1505,226545.79868309424
1506,167759.34583415778
1507,256650.15781927403
1508,176266.2570794143
1509,164212.2716846462
1510,153520.04847068785
1511,150255.8475607073
1512,166216.9104897707
1513,140402.18051708135
1514,153485.3185671115
1515,159911.6140650483
1516,146500.09665744778
1517,150824.13993411066
1518,134396.34258817032
1519,236877.77671380065
1520,133786.09479316612
1521,130257.05352471625
1522,157220.11851301498
1523,110716.77706325518
1524,119387.38396542729
1525,123231.76357382534
1526,118528.54977973626
1527,104542.34141050036
1528,129085.06794399563
1529,149211.33628987934
1530,166453.04353937862
1531,121481.00287412669
1532,99666.43009243377
1533,146442.7720567116
1534,112523.87743962847
1535,157368.19060107734
1536,126243.12370254994
1537,71987.67498927422
1538,145377.2914891319
1539,187929.8819803944
1540,107173.00828460306
1541,144103.9764751806
1542,142338.9814463358
1543,173823.0127483036
1544,78533.32706825637
1545,113452.95732449926
1546,129773.29970146519
1547,142836.4922642678
1548,130319.82418582606
1549,107788.01914975143
1550,142937.32305096788
1551,112283.73570017393
1552,126564.32188606425
1553,138379.70507283308
1554,120147.40243907699
1555,146923.19973741772
1556,76681.76128941393
1557,106767.80670633975
1558,87683.02396798169
1559,97109.65261402907
1560,139880.4415609395
1561,121569.59749205047
1562,128501.41306253981
1563,123339.30439675051
1564,154532.8522587435
1565,141501.42255198752
1566,205284.0925192673
1567,69340.59857545637
1568,189372.8032640824
1569,135625.40509760618
1570,140637.05146192425
1571,122671.91117689101
1572,147209.8648355493
1573,241401.3601716859
1574,118381.6008136256
1575,213073.6503338186
1576,219372.34327333217
1577,189104.45632525
1578,136369.3600106201
1579,146918.29390409114
1580,191935.33155728836
1581,141337.4110479188
1582,127176.40137901908
1583,311341.92497680115
1584,239614.9637500155
1585,141221.74207558527
1586,77916.04105278548
1587,101310.67654092902
1588,145610.0885903339
1589,99972.15482797392
1590,131355.56227655342
1591,98352.12547444756
1592,130098.23041849284
1593,114778.6143553448
1594,141393.31472925097
1595,111591.44044231945
1596,199126.28048050156
1597,166976.46702178288
1598,185555.77965832883
1599,158294.82843094948
1600,165199.5262702665
1601,73439.54619063581
1602,112517.62622211702
1603,88529.40111900192
1604,270608.7765632142
1605,257141.9510938074
1606,170654.1946293244
1607,171560.63604957968
1608,210975.28752810622
1609,180750.12680362872
1610,166943.84680536913
1611,142848.21796540875
1612,184170.83223346467
1613,175100.29831914813
1614,126208.63756665985
1615,88558.99019349867
1616,78641.19142424288
1617,93003.11098565439
1618,122681.13175114754
1619,132949.54834370996
1620,177028.5286237608
1621,143144.97935295533
1622,142783.14268549022
1623,287167.06645572657
1624,209500.93873873958
1625,120582.43131993477
1626,169591.94073275736
1627,195458.3378805897
1628,278717.3517764898
1629,173852.86812374915
1630,285064.5548750705
1631,210776.07774380458
1632,250595.81959207935
1633,173764.05270207988
1634,180502.8190195505
1635,178574.70266124213
1636,157343.18646068027
1637,174909.17252536584
1638,195963.6682508886
1639,174139.67174970068
1640,237978.160742621
1641,176690.3895752656
1642,220347.97225071408
1643,199245.44219423097
1644,213320.6566559772
1645,174625.57420075935
1646,159480.8923205658
1647,165454.51026798433
1648,139425.77954662606
1649,142702.72420849357
1650,126829.0579522465
1651,120952.99586590458
1652,94800.33506902488
1653,97462.78683488746
1654,145526.30176660372
1655,136908.9076773686
1656,142042.87911933567
1657,150220.14367407412
1658,143764.78962577172
1659,119418.32913577263
1660,143706.4908624396
1661,353015.1871037318
1662,365858.20654742804
1663,336808.7356785145
1664,327061.33611668204
1665,280250.52545103995
1666,307069.5810715679
1667,331994.2058378948
1668,322684.1775052798
1669,273902.975611536
1670,327226.7287719345
1671,262533.6063341514
1672,320466.0485494943
1673,298228.89204869606
1674,236748.51650362008
1675,196384.9183418256
1676,185627.69357232208
1677,236385.2350915136
1678,318087.06460147636
1679,304976.92288768623
1680,288653.5427139789
1681,221116.87418460162
1682,299147.47756682994
1683,182813.36907895113
1684,176398.583504722
1685,169546.66280652635
1686,167818.80351928124
1687,164440.33450730838
1688,183586.5918604068
